Rk,Name,Date,To Team,From Team,Age,WAR3,Yrs,G,AB,R,H,HR,RBI,SB,BB,BA,OBP,SLG,OPS,W,L,ERA,WHIP,G,GS,SV,IP,H,HR,BB,SO
122,Rick Helling,2002-01-20,Arizona Diamondbacks,TEX,31,9.5,8,201,39,1,3,0,0,0,0,.077,.077,.077,.154,72,58,4.75,1.408,201,171,0,1111.2,1129,177,436,766
123,Pedro Santana,2002-01-20,Cincinnati Reds,DET,25,0.0,1,1,0,0,0,0,0,0,0,,,,,,,,,,,,,,,,
124,Horacio Estrada,2002-01-19,Arizona Diamondbacks,COL,26,-0.6,3,15,9,1,1,0,0,0,0,.111,.111,.111,.222,4,1,7.50,2.028,15,4,0,36.0,48,10,25,22
125,Ron Gant,2002-01-18,San Diego Padres,OAK,37,4.6,14,1713,6099,1018,1564,302,945,239,732,.256,.337,.468,.805,,,,,,,,,,,,
126,Marcus Jensen,2002-01-18,Milwaukee Brewers,TEX,29,0.0,6,129,308,31,59,5,25,0,46,.192,.297,.299,.595,,,,,,,,,,,,
127,Jamie Arnold,2002-01-17,Houston Astros,SFG,28,-1.6,2,,,,,,,,,,,,,,,,,,,,,,,,
128,David Wells,2002-01-17,New York Yankees,CHW,39,9.2,15,495,46,2,6,0,0,0,0,.130,.130,.130,.261,166,114,4.08,1.255,495,325,13,2407.1,2462,285,559,1635
129,Scott Winchester,2002-01-17,Montreal Expos,CIN,29,-0.3,4,38,26,0,3,0,1,0,0,.115,.148,.115,.264,3,8,5.42,1.582,38,17,0,116.1,149,21,35,55
130,Eric Young,2002-01-17,Milwaukee Brewers,CHC,35,5.9,10,1237,4524,762,1307,55,427,377,489,.289,.365,.395,.760,,,,,,,,,,,,
131,Pedro Astacio,2002-01-16,New York Mets,HOU,33,10.1,10,311,562,24,73,0,26,0,4,.130,.139,.144,.283,103,96,4.50,1.360,308,265,0,1742.2,1798,218,572,1366
132,Alan Benes,2002-01-16,Chicago Cubs,STL,30,-0.4,6,101,125,6,21,0,8,0,2,.168,.181,.216,.397,27,23,4.42,1.410,101,59,0,431.1,414,54,194,349
133,Bryce Florie,2002-01-16,Oakland Athletics,DET,32,0.1,8,261,9,0,1,0,0,0,2,.111,.273,.111,.384,20,24,4.47,1.505,261,29,2,493.2,500,46,243,395
134,Chan Ho Park,2002-01-16,Texas Rangers,LAD,29,10.2,8,221,341,23,58,2,23,0,16,.170,.206,.238,.444,80,54,3.80,1.319,221,176,0,1183.2,1001,124,560,1098
135,Anthony Shumaker,2002-01-16,Chicago Cubs,BAL,29,-0.1,2,,,,,,,,,,,,,,,,,,,,,,,,
136,Terry Adams,2002-01-15,Philadelphia Phillies,LAD,29,2.8,7,385,52,2,2,0,1,0,4,.038,.105,.058,.163,37,43,4.04,1.448,385,22,39,581.1,581,40,261,484
